value,count
not available,52
31Y,7
54Y,7
64Y,5
78Y,5
58Y,5
53Y,5
60Y,5
51Y,5
52Y,5
45Y,4
44Y,4
38Y,4
62Y,4
80Y,4
67Y,4
74Y,4
39,4
73Y,3
72Y,3
68,3
67,3
48Y,3
50Y,3
69Y,3
not applicable,3
33Y,3
23Y,3
81Y,3
57Y,3
85Y,3
46Y,3
66Y,3
70Y,3
83Y,3
63Y,3
61Y,3
55Y,3
65Y,3
59Y,3
42Y,3
86Y,3
84Y,3
69,3
63,3
79Y,3
60,3
49Y,2
32Y,2
80,2
64,2
59,2
58,2
57,2
39Y,2
27Y,2
22Y,2
75Y,2
37Y,2
36Y,2
77Y,2
41Y,2
68Y,2
71Y,2
40Y,2
87Y,2
62,2
65,2
22,2
21,2
76,2
78,2
74,2
35Y,2
26Y,2
82,2
48,2
73,2
71,2
25Y,2
86,1
55,1
49,1
30Y6M,1
15Y,1
14Y,1
1726D,1
5741D,1
386D,1
631D,1
13771D,1
11216D,1
7201D,1
14866D,1
8661D,1
3186D,1
996D,1
13406D,1
1361D,1
4281D,1
24Y,1
76Y,1
34Y,1
28Y,1
43Y,1
21Y,1
89Y,1
6 month,1
47,1
Not Applicable,1
anonymized,1
47Y-75Y,1
31Y-72Y,1
48Y-71Y,1
43Y-60Y,1
56Y,1
70,1
72,1
54,1
66,1
53,1
84,1
81,1
79,1
27,1
85,1
40,1
56,1
77,1
26,1
38,1
52,1
20,1
41,1
23,1
51,1
not availableY,1
47Y,1
24 months,1
3 months,1
30,1
1,1
11,1
28,1
8,1
4,1
2,1
5,1
pT3a,1
pT3b,1
pT1a,1
pT1b,1
pT2b,1
pT2a,1
76.0,1
59.0,1
83.0,1
79.5,1
