value,count
run 1,86
run 2,86
run 3,86
run 4,83
run 5,82
run 6,82
run 7,81
run 8,80
run 9,78
run 10,76
run 11,75
run 12,74
run 13,73
run 14,73
run 15,73
run 16,71
run 17,69
run 18,69
run 19,68
run 20,68
run 21,67
run 22,67
run 23,67
run 24,67
run 25,64
run 26,64
run 27,64
run 28,62
run 29,60
run 30,60
run 31,58
run 32,58
run 33,54
run 34,54
run 35,53
run 36,53
run 37,52
run 38,52
run 39,52
run 40,52
run 41,50
run 42,50
run 43,50
run 44,50
run 45,50
run 46,50
run 47,50
run 48,50
run 49,48
run 50,48
run 51,48
run 52,48
run 53,48
run 54,48
run 55,48
run 56,48
run 57,48
run 58,48
run 59,48
run 60,47
run 61,47
run 62,47
run 63,47
run 64,47
run 65,46
run 66,46
run 67,46
run 68,46
run 69,46
run 70,45
run 71,45
run 72,45
run 73,45
run 74,45
run 75,45
run 76,45
run 77,45
run 78,45
run 79,45
run 80,45
run 81,45
run 82,45
run 83,45
run 84,45
run 85,45
run 86,45
run 87,45
run 88,45
run 89,45
run 90,44
run 91,43
run 92,43
run 93,43
run 94,43
run 95,43
run 96,43
run 97,42
run 98,42
run 99,41
run 100,41
run 101,40
run 102,39
run 103,39
run 104,39
run 105,39
run 106,39
run 107,39
run 108,39
run 109,39
run 110,39
run 111,39
run 112,38
run 113,38
run 114,38
run 115,38
run 116,38
run 117,37
run 118,37
run 119,37
run 120,37
run 121,36
run 122,36
run 123,36
run 124,36
run 125,35
run 126,35
run 127,35
run 128,35
run 129,35
run 130,35
run 131,35
run 132,35
run 133,35
run 134,35
run 135,35
run 136,35
run 137,34
run 138,34
run 139,34
run 140,34
run 141,34
run 142,33
run 143,32
run 144,32
run 145,31
run 146,31
run 147,31
run 148,31
run 149,31
run 150,31
run 151,24
run 152,24
run 153,24
run 154,23
run 155,23
run 156,23
run 157,23
run 158,23
run 159,23
run 160,23
run 161,22
run 162,22
run 163,22
run 164,22
run 165,22
run 166,22
run 167,22
run 168,22
run 169,22
run 170,22
run 171,22
run 172,22
run 173,22
run 174,22
run 175,22
run 176,22
run 177,22
run 178,22
run 179,22
run 180,22
run 181,22
run 182,22
run 183,22
run 184,22
run 185,22
run 186,22
run 187,22
run 188,22
run 189,22
run 190,22
run 191,22
run 192,22
run 193,21
run 194,21
run 195,21
run 196,20
run 197,20
run 198,20
run 199,18
run 200,18
run 201,17
run 202,17
run 203,17
run 204,17
run 205,17
run 206,17
run 207,17
run 208,17
run 209,17
run 210,17
run 211,17
run 212,17
run 213,17
run 214,17
run 215,17
run 216,17
run 217,17
run 218,17
run 219,17
run 220,17
run 221,17
run 222,17
run 223,17
run 224,17
run 225,17
run 226,17
run 227,17
run 228,17
run 229,17
run 230,17
run 231,17
