value,count
HeLa cells,4
not available,4
not applicable,4
A375,3
A549,2
OVCAR3,2
Vero E6,2
HEK-293 cell,1
MDAMB231 subpopulation LM2-4175,1
HUVEC,1
MDAMB231 subpopulation LM2-4176,1
MDAMB231 subpopulation LM2-4177,1
MDAMB231 subpopulation LM2-4178,1
MDAMB231 subpopulation LM2-4179,1
MDAMB231 subpopulation LM2-4180,1
MDAMB231 subpopulation LM2-4181,1
MDAMB231 subpopulation LM2-4182,1
MDAMB231 subpopulation LM2-4183,1
MDAMB231 subpopulation LM2-4184,1
MDAMB231 subpopulation LM2-4185,1
MDAMB231 subpopulation LM2-4186,1
HEK293,1
GAMG,1
HELA,1
HepG2,1
Jurkat,1
K562,1
MCF7,1
RKO,1
LanCap,1
U2OS,1
LnCap,1
DOV13,1
OVCA433,1
OVISE,1
IOSE7576,1
SKOV3IP1,1
A2780CP70,1
A2780,1
IOSE397,1
ME180C13,1
TOV112D,1
ME180,1
IGROV1CP,1
IGROV1,1
TOV112DR,1
TOV113DR,1
TOV114DR,1
TYKNU,1
KURAMOCHI,1
SNU119,1
SNU120,1
SNU121,1
PEO1,1
PEO4,1
TYKNUCP,1
fallopian tube epithelial cells,1
59M,1
CAOV3,1
COV318,1
HEYA8,1
JHOS2,1
JHOS4,1
OVCAR5,1
OVKATE,1
OVSAHO,1
MCF-7,1
YPH499,1
C32TG,1
SK-MEL-28,1
"WM266-4, WM115, A375, Mel526, Mel624",1
Not Applicable,1
HCC38,1
MDA-MB-231,1
Hs578T,1
MDA-MB-468,1
MDA-MB-415,1
HCC1143,1
MDA-MB-157,1
BT483,1
HCC1937,1
tumour associated B cells,1
peripheral B cells,1
HCT 116,1
C2C12,1
pluripotent stem cell line,1
E14Tg2a,1
12T,1
108T,1
MDA-MB-435S,1
HEK293T,1
