value,count
AC=MS:1001251;NT=Trypsin,60
NT=Trypsin;AC=MS:1001251,29
NT=Lys-C;AC=MS:1001309,3
AC=MS:1001313;NT=Trypsin/P,3
NT=Trypsin,2
NT=trypsin/P;AC=MS:1001313,2
NT=Trypsin/P;AC=MS:1001313,2
NT=unspecific cleavage;AC=MS:1001956,2
AC=MS:1001309;NT=Lys-C,2
AC=MS:1001314;NT=V8-DE,2
AC=MS:1001915;NT=leukocyte elastase,1
not applicable,1
NT=Trypsin;AC=MS:1001252,1
NT=Trypsin;AC=MS:1001253,1
NT=Trypsin;AC=MS:1001254,1
NT=Trypsin;AC=MS:1001255,1
NT=Trypsin;AC=MS:1001256,1
NT=Trypsin;AC=MS:1001257,1
NT=Trypsin;AC=MS:1001258,1
NT=Trypsin;AC=MS:1001259,1
NT=Trypsin;AC=MS:1001260,1
NT=Trypsin;AC=MS:1001261,1
NT=Trypsin;AC=MS:1001262,1
NT=Trypsin;AC=MS:1001263,1
NT=Trypsin;AC=MS:1001264,1
NT=Trypsin;AC=MS:1001265,1
NT=Trypsin;AC=MS:1001266,1
NT=Trypsin;AC=MS:1001267,1
NT=Trypsin;AC=MS:1001268,1
NT=Trypsin;AC=MS:1001269,1
NT=Trypsin;AC=MS:1001270,1
NT=Trypsin;AC=MS:1001271,1
NT=Trypsin;AC=MS:1001272,1
NT=Trypsin;AC=MS:1001273,1
NT=Trypsin;AC=MS:1001274,1
NT=Trypsin;AC=MS:1001275,1
NT=Trypsin;AC=MS:1001276,1
NT=Trypsin;AC=MS:1001277,1
NT=Trypsin;AC=MS:1001278,1
NT=Trypsin;AC=MS:1001279,1
NT=Trypsin;AC=MS:1001280,1
NT=Trypsin;AC=MS:1001281,1
NT=Trypsin;AC=MS:1001282,1
NT=Trypsin;AC=MS:1001283,1
NT=Trypsin;AC=MS:1001284,1
NT=Trypsin;AC=MS:1001285,1
NT=Trypsin;AC=MS:1001286,1
AC=MS:1001306;NT=Chymotrypsin,1
AC=MS:1001344;NT=Lys-C,1
NT=Asp-N;AC=MS:1001304,1
NT=Arg-C;AC=MS:1001303,1
NT=Glutamyl endopeptidase;AC=MS:1001917,1
AC=MS:1001339;NT=Lys-C,1
AC=MS:1001334;NT=Lys-C,1
AC=MS:1001329;NT=Lys-C,1
AC=MS:1001324;NT=Lys-C,1
AC=MS:1001320;NT=Lys-C,1
AC=MS:1001316;NT=Lys-C,1
AC=MS:1001312;NT=Lys-C,1
AC=MS:1001343;NT=Lys-C,1
AC=MS:1001338;NT=Lys-C,1
AC=MS:1001333;NT=Lys-C,1
AC=MS:1001328;NT=Lys-C,1
AC=MS:1001323;NT=Lys-C,1
AC=MS:1001319;NT=Lys-C,1
AC=MS:1001315;NT=Lys-C,1
AC=MS:1001311;NT=Lys-C,1
AC=MS:1001342;NT=Lys-C,1
AC=MS:1001337;NT=Lys-C,1
AC=MS:1001332;NT=Lys-C,1
AC=MS:1001327;NT=Lys-C,1
AC=MS:1001322;NT=Lys-C,1
AC=MS:1001318;NT=Lys-C,1
AC=MS:1001314;NT=Lys-C,1
AC=MS:1001310;NT=Lys-C,1
AC=MS:1001341;NT=Lys-C,1
AC=MS:1001336;NT=Lys-C,1
AC=MS:1001331;NT=Lys-C,1
AC=MS:1001326;NT=Lys-C,1
AC=MS:1001321;NT=Lys-C,1
AC=MS:1001317;NT=Lys-C,1
AC=MS:1001313;NT=Lys-C,1
AC=MS:1001340;NT=Lys-C,1
AC=MS:1001335;NT=Lys-C,1
AC=MS:1001330;NT=Lys-C,1
AC=MS:1001325;NT=Lys-C,1
