value,count
NT=Lys-C;AC=MS:1001309,9
AC=MS:1001309;NT=Lys-C,3
NT=Trypsin;AC=MS:1001251,2
AC=MS:1001251;NT=Trypsin,2
NT=Lys-C,1
not applicable,1
NT=Lys-C;AC=MS:1001310,1
NT=Lys-C;AC=MS:1001311,1
NT=Lys-C;AC=MS:1001312,1
NT=Lys-C;AC=MS:1001313,1
NT=Lys-C;AC=MS:1001314,1
NT=Lys-C;AC=MS:1001315,1
NT=Lys-C;AC=MS:1001316,1
NT=Lys-C;AC=MS:1001317,1
NT=Lys-C;AC=MS:1001318,1
NT=Lys-C;AC=MS:1001319,1
NT=Lys-C;AC=MS:1001320,1
NT=Lys-C;AC=MS:1001321,1
NT=Lys-C;AC=MS:1001322,1
NT=Lys-C;AC=MS:1001323,1
NT=Lys-C;AC=MS:1001324,1
NT=Lys-C;AC=MS:1001325,1
NT=Lys-C;AC=MS:1001326,1
NT=Lys-C;AC=MS:1001327,1
NT=Lys-C;AC=MS:1001328,1
NT=Lys-C;AC=MS:1001329,1
NT=Lys-C;AC=MS:1001330,1
NT=Lys-C;AC=MS:1001331,1
NT=Lys-C;AC=MS:1001332,1
NT=Lys-C;AC=MS:1001333,1
NT=Lys-C;AC=MS:1001334,1
NT=Lys-C;AC=MS:1001335,1
NT=Lys-C;AC=MS:1001336,1
NT=Lys-C;AC=MS:1001337,1
NT=Lys-C;AC=MS:1001338,1
NT=Lys-C;AC=MS:1001339,1
NT=Lys-C;AC=MS:1001340,1
NT=Lys-C;AC=MS:1001341,1
NT=Lys-C;AC=MS:1001342,1
NT=Lys-C;AC=MS:1001343,1
NT=Lys-C;AC=MS:1001344,1
NT=Lys-C;AC=MS:1001345,1
NT=Lys-C;AC=MS:1001346,1
NT=Lys-C;AC=MS:1001347,1
NT=Lys-C;AC=MS:1001348,1
NT=Lys-C;AC=MS:1001349,1
NT=Lys-C;AC=MS:1001350,1
NT=Lys-C;AC=MS:1001351,1
NT=Lys-C;AC=MS:1001352,1
NT=Lys-C;AC=MS:1001353,1
NT=Lys-C;AC=MS:1001354,1
NT=Lys-C;AC=MS:1001355,1
NT=Lys-C;AC=MS:1001356,1
NT=Lys-C;AC=MS:1001357,1
NT=Lys-C;AC=MS:1001358,1
NT=Lys-C;AC=MS:1001359,1
NT=Lys-C;AC=MS:1001360,1
NT=Lys-C;AC=MS:1001361,1
NT=Lys-C;AC=MS:1001362,1
NT=Lys-C;AC=MS:1001363,1
NT=Lys-C;AC=MS:1001364,1
NT=Lys-C;AC=MS:1001365,1
NT=Lys-C;AC=MS:1001366,1
NT=Lys-C;AC=MS:1001367,1
NT=Lys-C;AC=MS:1001368,1
NT=Lys-C;AC=MS:1001369,1
NT=Lys-C;AC=MS:1001370,1
NT=Lys-C;AC=MS:1001371,1
NT=Lys-C;AC=MS:1001372,1
NT=Lys-C;AC=MS:1001373,1
NT=Lys-C;AC=MS:1001374,1
NT=Lys-C;AC=MS:1001375,1
NT=Lys-C;AC=MS:1001376,1
NT=Lys-C;AC=MS:1001377,1
NT=Lys-C;AC=MS:1001378,1
NT=Lys-C;AC=MS:1001379,1
NT=Lys-C;AC=MS:1001380,1
NT=Lys-C;AC=MS:1001381,1
NT=Lys-C;AC=MS:1001382,1
NT=Lys-C;AC=MS:1001383,1
NT=Lys-C;AC=MS:1001384,1
NT=Lys-C;AC=MS:1001385,1
NT=Lys-C;AC=MS:1001386,1
NT=Lys-C;AC=MS:1001387,1
NT=Lys-C;AC=MS:1001388,1
NT=Lys-C;AC=MS:1001389,1
NT=Lys-C;AC=MS:1001390,1
NT=Lys-C;AC=MS:1001391,1
NT=Lys-C;AC=MS:1001392,1
NT=Lys-C;AC=MS:1001393,1
NT=Lys-C;AC=MS:1001394,1
NT=Lys-C;AC=MS:1001395,1
NT=Lys-C;AC=MS:1001396,1
NT=Lys-C;AC=MS:1001397,1
NT=Lys-C;AC=MS:1001398,1
NT=Lys-C;AC=MS:1001399,1
NT=Lys-C;AC=MS:1001400,1
NT=Lys-C;AC=MS:1001401,1
NT=Lys-C;AC=MS:1001402,1
NT=Lys-C;AC=MS:1001403,1
NT=Lys-C;AC=MS:1001404,1
NT=Lys-C;AC=MS:1001405,1
NT=Lys-C;AC=MS:1001406,1
NT=Lys-C;AC=MS:1001407,1
NT=Lys-C;AC=MS:1001408,1
NT=Lys-C;AC=MS:1001409,1
NT=Lys-C;AC=MS:1001410,1
NT=Lys-C;AC=MS:1001411,1
NT=Lys-C;AC=MS:1001412,1
NT=Lys-C;AC=MS:1001413,1
NT=Lys-C;AC=MS:1001414,1
NT=Lys-C;AC=MS:1001415,1
NT=Lys-C;AC=MS:1001416,1
NT=Lys-C;AC=MS:1001417,1
NT=Lys-C;AC=MS:1001418,1
NT=Lys-C;AC=MS:1001419,1
NT=Lys-C;AC=MS:1001420,1
NT=Lys-C;AC=MS:1001421,1
NT=Lys-C;AC=MS:1001422,1
NT=Lys-C;AC=MS:1001423,1
NT=Lys-C;AC=MS:1001424,1
NT=Lys-C;AC=MS:1001425,1
NT=Lys-C;AC=MS:1001426,1
NT=Lys-C;AC=MS:1001427,1
NT=Lys-C;AC=MS:1001428,1
NT=Lys-C;AC=MS:1001429,1
NT=Lys-C;AC=MS:1001430,1
NT=Lys-C;AC=MS:1001431,1
NT=Lys-C;AC=MS:1001432,1
NT=Lys-C;AC=MS:1001433,1
NT=Lys-C;AC=MS:1001434,1
NT=Lys-C;AC=MS:1001435,1
NT=Lys-C;AC=MS:1001436,1
NT=Lys-C;AC=MS:1001437,1
NT=Lys-C;AC=MS:1001438,1
NT=Lys-C;AC=MS:1001439,1
NT=Lys-C;AC=MS:1001440,1
NT=Lys-C;AC=MS:1001441,1
NT=Lys-C;AC=MS:1001442,1
NT=Lys-C;AC=MS:1001443,1
NT=Lys-C;AC=MS:1001444,1
not available,1
