value,count
not available,17
normal,14
uninfected,5
adenocarcinoma,5
Colon adenocarcinoma,5
Normal,5
malignant melanoma,4
control,3
Alzheimer's disease,3
Control,3
Rectum adenocarcinoma,2
squamous cell carcinoma,2
colorectal cancer,2
melanoma,2
squamous cell lung cancer,2
Alzheimer's Disease,2
cholangiocellular carcinoma,1
breast cancer,1
Metastatic melanoma,1
Normal healthy,1
colon and rectal tumors,1
rectum adenocarcinoma,1
rectal mucinous adenocarcinoma,1
Xanthomonas oryzae pv. oryzae,1
Lung adenocarcinoma,1
Glioblastoma,1
Human papillomavirus-related endocervical adenocarcinoma,1
Hepatoblastoma,1
Childhood T acute lymphoblastic leukemia,1
"Chronic myelogenous leukemia, BCR-ABL1 positive",1
"Invasive ductal carcinoma, not otherwise specified",1
Colon carcinoma,1
Prostate carcinoma,1
Osteosarcoma,1
high grade serous ovarian cancer,1
epithelial ovarian cancer,1
ovarian cancer,1
breast adenocarcinoma,1
obesity,1
squamous  cell carcinoma,1
amelanotic melanoma,1
metastatic ovarian high grade serous adenocarcinoma,1
triple-negative breast cancer,1
Alzheimer's and cerebrovascular disease,1
trauma victims,1
atrial fibrillation,1
Brain meningioma,1
Parkinson's disease,1
Alzheimer's disease/Parkinson's disease,1
Alzheimer's disease 3,1
Alzheimer's disease 4,1
control3,1
control4,1
Parkinson's disease3,1
Parkinson's disease4,1
Alzheimer's disease/Parkinson's disease3,1
Alzheimer's disease/Parkinson's disease4,1
Alzheimer's disease 5,1
Alzheimer's disease 6,1
control5,1
control6,1
Parkinson's disease6,1
Parkinson's disease7,1
Alzheimer's disease/Parkinson's disease5,1
Alzheimer's disease/Parkinson's disease6,1
Alzheimer's disease 7,1
Alzheimer's disease 8,1
control7,1
control8,1
Parkinson's disease8,1
Alzheimer's disease/Parkinson's disease7,1
Alzheimer's disease/Parkinson's disease8,1
Alzheimer's disease 9,1
Alzheimer's disease0,1
control9,1
control0,1
Parkinson's disease9,1
Parkinson's disease0,1
Alzheimer's disease/Parkinson's disease9,1
Alzheimer's disease/Parkinson's disease0,1
Parkinson's disease5,1
NT = healthy; AC = HP:0032322,1
Triple-negative breast cancer,1
locally advanced non-metastatic colorectal cancer,1
dilated left atria,1
stomach cancer,1
ischemic cardiomyopathy,1
cardiac hypertrophy,1
dilated cardiomyopathy,1
compensated hypertrophy,1
colorectal adenocarcinoma,1
superficial spreading melanoma,1
nodular melanoma,1
acral lentiginous melanoma,1
other,1
unknown,1
lentigo maligna melanoma,1
mucosal,1
schistosomiasis,1
Alzheimer's disease (stage VI),1
Alzheimer's disease (stage III),1
Non-demented control,1
Alzheimer's diseasemedial,1
colon carcinoma,1
Breast cancer,1
Autism Spectrum Disorder,1
polycythemia vera,1
Papillary Renal Cell Carcinomas,1
Melanoma,1
not applicable,1
Non-small cell lung carcinoma,1
pancreatic ductal adenocarcinoma (PDAC),1
metastatic melanoma tumor,1
leptomeningeal melanoma metastases,1
ductal carcinoma,1
metastatic cutaneous melanoma,1
SARS-Cov2_infected,1
native_1,1
native_2,1
native_3,1
native_4,1
native_5,1
decellularized_1,1
decellularized_2,1
decellularized_3,1
decellularized_4,1
decellularized_5,1
