value,count
1,99
2,55
3,53
4,53
5,49
6,49
7,45
8,42
9,39
11,38
10,37
12,36
13,30
14,30
15,30
16,20
17,19
18,19
19,17
20,16
21,15
22,13
23,13
24,13
27,10
28,10
29,10
30,10
25,9
26,9
31,9
32,8
33,8
36,8
34,7
35,7
37,7
38,6
39,6
40,6
41,6
42,6
43,4
44,4
45,4
47,3
46,3
not available,3
50,3
51,3
52,3
53,3
64,3
65,3
66,3
71,3
72,3
not applicable,2
48,2
49,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
67,2
68,2
69,2
70,2
cytoplasm,1
membrane,1
0,1
not  applicable,1
19b,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
