value,count
NT=Q Exactive;AC=MS:1001911,16
AC=MS:1001742;NT=LTQ Orbitrap Velos,13
AC=MS:1001911;NT=Q Exactive,11
AC=MS:1002523;NT=Q Exactive HF,8
AC=MS:1002634;NT=Q Exactive Plus,7
AC=MS:1002732;NT=Orbitrap Fusion Lumos,6
NT=LTQ Orbitrap Elite;AC=MS:1001910,5
NT=Q Exactive HF;AC=MS:1002523,5
AC=MS:1001910;NT=LTQ Orbitrap Elite,4
NT=LTQ Orbitrap Velos;AC=MS:1001742,3
NT=Q Exactive Plus;AC=MS:1002634,3
NT=Q Exactive Plus;AC=MS:1001911,3
AC=MS:1001742; NT=LTQ Orbitrap Velos,2
LTQ Orbitrap Velos,2
NT=Orbitrap Fusion Lumos;AC=MS:1002732,2
AC=MS:1002877;NT=Q Exactive HF-X,1
AC=MS:1002523; NT=Q Exactive HF,1
NT=Orbitrap Fusion Lumos;AC=MS:1002731,1
AC=MS:1002634; NT=Q Exactive Plus,1
NT= LTQ Orbitrap Elite;AC=MS:1001910,1
AC=MS:1000449;NT=LTQ Orbitrap,1
Q Exactive Plus,1
AC=MS:1000639;NT=Orbitrap Fusion,1
NT=Q Exactive; AC = MS:1001911,1
NT=LTQ Orbitrap;AC=MS:1000449,1
LTQ Orbitrap XL,1
NT=Q Exactive Plus;AC=MS:1002635,1
NT=Q Exactive Plus;AC=MS:1002636,1
NT=Q Exactive Plus;AC=MS:1002637,1
NT=Q Exactive Plus;AC=MS:1002638,1
NT=Q Exactive Plus;AC=MS:1002639,1
NT=Q Exactive Plus;AC=MS:1002640,1
NT=Q Exactive Plus;AC=MS:1002641,1
NT=Q Exactive Plus;AC=MS:1002642,1
NT=Q Exactive Plus;AC=MS:1002643,1
NT=Q Exactive Plus;AC=MS:1002644,1
NT=Q Exactive Plus;AC=MS:1002645,1
NT=Q Exactive Plus;AC=MS:1002646,1
NT=Q Exactive Plus;AC=MS:1002647,1
NT=Q Exactive Plus;AC=MS:1002648,1
NT=Q Exactive Plus;AC=MS:1002649,1
NT=Q Exactive Plus;AC=MS:1002650,1
NT=Q Exactive Plus;AC=MS:1002651,1
NT=Q Exactive Plus;AC=MS:1002652,1
NT=Q Exactive Plus;AC=MS:1002653,1
NT=Q Exactive Plus;AC=MS:1002654,1
NT=Q Exactive Plus;AC=MS:1002655,1
NT=Q Exactive Plus;AC=MS:1002656,1
NT=Q Exactive Plus;AC=MS:1002657,1
NT=Q Exactive Plus;AC=MS:1002658,1
NT=Q Exactive Plus;AC=MS:1002659,1
NT=Q Exactive Plus;AC=MS:1002660,1
NT=Q Exactive Plus;AC=MS:1002661,1
NT=Q Exactive Plus;AC=MS:1002662,1
NT=Q Exactive Plus;AC=MS:1002663,1
NT=Q Exactive Plus;AC=MS:1002664,1
NT=Q Exactive Plus;AC=MS:1002665,1
NT=Q Exactive Plus;AC=MS:1002666,1
NT=Q Exactive Plus;AC=MS:1002667,1
NT=Q Exactive Plus;AC=MS:1002668,1
NT=Q Exactive Plus;AC=MS:1002669,1
NT=Q Exactive Plus;AC=MS:1002670,1
NT=Q Exactive Plus;AC=MS:1002671,1
NT=Q Exactive Plus;AC=MS:1002672,1
NT=Q Exactive Plus;AC=MS:1002673,1
NT=Q Exactive Plus;AC=MS:1002674,1
NT=Q Exactive Plus;AC=MS:1002675,1
NT=Q Exactive Plus;AC=MS:1002676,1
NT=Q Exactive Plus;AC=MS:1002677,1
NT=Q Exactive Plus;AC=MS:1002678,1
NT=Q Exactive Plus;AC=MS:1002679,1
NT=Q Exactive Plus;AC=MS:1002680,1
NT=Q Exactive Plus;AC=MS:1002681,1
NT=Q Exactive Plus;AC=MS:1002682,1
NT=Q Exactive Plus;AC=MS:1002683,1
NT=Q Exactive Plus;AC=MS:1002684,1
NT=Q Exactive Plus;AC=MS:1002685,1
NT=Q Exactive Plus;AC=MS:1002686,1
NT=Q Exactive Plus;AC=MS:1002687,1
NT=Q Exactive Plus;AC=MS:1002688,1
NT=Q Exactive Plus;AC=MS:1002689,1
NT=Q Exactive Plus;AC=MS:1002690,1
NT=Q Exactive Plus;AC=MS:1002691,1
NT=Q Exactive Plus;AC=MS:1002692,1
NT=Q Exactive Plus;AC=MS:1002693,1
NT=Q Exactive Plus;AC=MS:1002694,1
NT=Q Exactive Plus;AC=MS:1002695,1
NT=Q Exactive Plus;AC=MS:1002696,1
NT=Q Exactive Plus;AC=MS:1002697,1
NT=Q Exactive Plus;AC=MS:1002698,1
NT=Q Exactive Plus;AC=MS:1002699,1
NT=Q Exactive Plus;AC=MS:1002700,1
NT=Q Exactive Plus;AC=MS:1002701,1
NT=Q Exactive Plus;AC=MS:1002702,1
NT=Q Exactive Plus;AC=MS:1002703,1
NT=Q Exactive Plus;AC=MS:1002704,1
NT=Q Exactive Plus;AC=MS:1002705,1
NT=Q Exactive Plus;AC=MS:1002706,1
NT=Q Exactive Plus;AC=MS:1002707,1
NT=Q Exactive Plus;AC=MS:1002708,1
NT=Q Exactive Plus;AC=MS:1002709,1
NT=Q Exactive Plus;AC=MS:1002710,1
NT=Q Exactive Plus;AC=MS:1002711,1
NT=Q Exactive Plus;AC=MS:1002712,1
NT=Q Exactive Plus;AC=MS:1002713,1
NT=Q Exactive Plus;AC=MS:1002714,1
NT=Q Exactive Plus;AC=MS:1002715,1
NT=Q Exactive Plus;AC=MS:1002716,1
NT=Q Exactive Plus;AC=MS:1002717,1
NT=Q Exactive Plus;AC=MS:1002718,1
NT=Q Exactive Plus;AC=MS:1002719,1
NT=Q Exactive Plus;AC=MS:1002720,1
NT=Q Exactive Plus;AC=MS:1002721,1
NT=Q Exactive Plus;AC=MS:1002722,1
