value,count
AC=MS:1002038;NT=label free sample,52
NT=label free sample;AC=MS:1002038,13
TMT126,12
TMT131,10
NT=label free sample,8
TMT127C,8
TMT127N,8
TMT128C,8
TMT128N,8
TMT129C,8
TMT129N,8
TMT130C,8
TMT130N,8
TMT127,6
TMT128,6
TMT129,6
TMT130,5
label free sample,4
SILAC heavy,3
label free,3
SILAC medium,2
SILAC light,2
AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4),2
AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4),2
Label free,1
NT=metabolic label;AC=PRIDE:0000597,1
ITRAQ114,1
ITRAQ115,1
ITRAQ116,1
ITRAQ117,1
Unlabeled sample,1
AC=MS:1002624;NT=iTRAQ reagent 114,1
AC=MS:1002625;NT=iTRAQ reagent 115,1
AC=MS:1002626;NT=iTRAQ reagent 116,1
AC=MS:1002627;NT=iTRAQ reagent 117,1
TMT131N,1
TMT131C,1
