value,count
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35,13
NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,10
NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35,9
NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed,8
NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable,5
NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable,4
"NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable",4
NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:36,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:37,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:38,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:39,3
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:40,3
"NT=Oxidation;AC=UNIMOD:35;TA=M,W;MT=Variable",3
AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C,2
AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable,2
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:41,2
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:42,2
NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:43,2
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:35,2
NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed,2
"NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable",1
"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7",1
"NT=Deamidated;TA=N,Q;AC=UNIMOD:7;MT=variable",1
NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:1914,1
NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4,1
NT=Gln->pyro-Glu;AC=Unimod:28;MT=Variable;PP=Protein N-term;TA=Q,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:215,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:216,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:217,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:218,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:219,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:220,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:221,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:222,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:223,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:224,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:225,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:226,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:227,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:228,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:229,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:230,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:231,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:232,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:233,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:234,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:235,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:236,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:237,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:238,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:239,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:240,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:241,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:242,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:243,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:244,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:245,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:246,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:247,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:248,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:249,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:250,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:251,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:252,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:253,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:254,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:255,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:256,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:257,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:258,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:259,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:260,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:261,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:262,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:263,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:264,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:265,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:266,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:267,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:268,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:269,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:270,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:271,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:272,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:273,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:274,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:275,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:276,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:277,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:278,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:279,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:280,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:281,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:282,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:283,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:284,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:285,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:286,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:287,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:288,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:289,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:290,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:291,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:292,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:293,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:294,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:295,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:296,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:297,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:298,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:299,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:300,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:301,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:302,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:303,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:304,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:305,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:306,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:307,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:308,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:309,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:310,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:311,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:312,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:313,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:314,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:315,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:316,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:317,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:318,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:319,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:320,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:321,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:322,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:323,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:324,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:325,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:326,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:327,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:328,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:329,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:330,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:331,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:332,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:333,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:334,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:335,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:336,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:337,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:338,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:339,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:340,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:341,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:342,1
NT=Oxidation; MT=Variable; TA=M;AC=UNIMOD:343,1
