value,count
NT=Phospho;AC=UNIMOD:21;TA=T;MT=Variable,3
NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable,2
"NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable",1
NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable,1
NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5,1
NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable,1
NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7,1
NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable,1
NT=Label:13C(6)15N(4);TA=R;MT=variable;AC=UNIMOD:267,1
NT=Hydroxylation;AC=MOP:0000673;MT=Variable;PP=Anywhere;TA=P,1
NT=Gln->pyro-Glu;TA=E;AC=UNIMOD:27;PP=Any N-term;MT=variable,1
"NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable",1
NT= TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed,1
not available,1
"NT=Phosphorylation;TA=S,T,Y;AC=UNIMOD:21;MT=variable",1
"NT=Ammonium;TA=D,E;AC=UNIMOD:989;MT=variable",1
NT=Gln->pyro-Glu;AC=UNIMOD:28;MT=Variable,1
NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1,1
