value,count
Brain,2
rectum,2
lung tumor-adjacent tissues,2
Thalamus,2
Adrenal gland,1
Esophagus,1
Retina,1
Heart,1
Kidney,1
Liver,1
Lung,1
Placenta,1
Gut,1
Ovary,1
Testis,1
CD4 Tcells,1
Monocytes,1
NK cells,1
Platelets,1
Frontal cortex,1
Urinary bladder,1
B cells,1
CD8  Tcells,1
Colon,1
Gallbladder,1
Pancreas,1
Prostate,1
Rectum,1
Spinal cord,1
CD8 Tcells,1
Saliva,1
dorsolateral prefrontal cortex,1
lung squamous  cell carcinoma tissue,1
lung squamous cell carcinoma tissue,1
left cardiac atrium,1
heart left ventricle,1
right cardiac atrium,1
brain,1
adrenal gland,1
prostate,1
lung,1
testis,1
duodenum,1
small intestine,1
appendix/vermiform appendix,1
urinary bladder,1
gallbladder,1
esophagus,1
heart,1
lymph node,1
thyroid,1
endometrium/uterine endometrium,1
placenta,1
pancreas,1
ovary,1
salivary gland,1
smooth muscle,1
colon,1
fallopian tube/oviduct,1
tonsil,1
liver,1
stomach,1
fat/adipose tissue,1
kidney,1
bone marrow,1
pituitary/hypophysis,1
spleen,1
amygdala,1
cerebellum,1
caudate nucleus,1
entorhinal cortex,1
parietal lobe,1
middle frontal gyrus,1
superior temporal gyrus,1
visual cortex,1
Amygdala,1
Cerebellum,1
Caudate Nucleus,1
Entorhinal Cortex,1
Inferior Parietal Lobule,1
Middle Frontal Gyrus,1
Superior Temporal Gyrus,1
Visual Cortex,1
Neocortex,1
medial frontal gyrus,1
axillary metastatic lymph nodes tissues,1
primary breast tumor tissues,1
adjacent breast tissues,1
non-tumor contralateral breast tissues,1
Hippocampus,1
