value,count
Sample 1,75
Sample 2,71
Sample 3,69
Sample 4,66
Sample 5,65
Sample 6,65
Sample 7,61
Sample 8,58
Sample 9,54
Sample 10,52
Sample 11,40
Sample 12,38
Sample 13,36
Sample 14,36
Sample 15,36
Sample 16,34
Sample 17,33
Sample 18,31
Sample 19,30
Sample 20,29
Sample 22,26
Sample 23,26
Sample 21,25
Sample 24,25
Sample 25,24
Sample 26,24
Sample 27,24
Sample 28,24
Sample 29,24
Sample 30,24
Sample 31,23
Sample 32,22
Sample 33,20
Sample 34,20
Sample 36,19
Sample 37,19
Sample 38,19
Sample 39,19
Sample 40,19
Sample 41,19
Sample 42,19
Sample 50,19
Sample 35,18
Sample 43,18
Sample 44,18
Sample 45,18
Sample 46,18
Sample 47,18
Sample 48,18
Sample 49,18
Sample 51,17
Sample 52,17
Sample 53,17
Sample 54,15
Sample 55,15
Sample 56,15
Sample 57,15
Sample 58,15
Sample 59,15
Sample 60,15
Sample 64,15
Sample 61,14
Sample 62,14
Sample 63,14
Sample 65,14
Sample 66,13
Sample 71,13
Sample 67,12
Sample 68,12
Sample 69,12
Sample 70,12
Sample 72,12
Sample 73,10
Sample 74,10
Sample 75,10
Sample 76,10
Sample 77,10
Sample 78,10
Sample 79,10
Sample 80,10
Sample 81,10
Sample 85,10
Sample 82,9
Sample 83,9
Sample 84,9
Sample 86,9
Sample 87,9
Sample 88,9
Sample 89,9
Sample 90,9
Sample 91,9
Sample 92,9
Sample 93,9
Sample 94,9
Sample 95,9
Sample 96,9
Sample 97,9
Sample 98,9
Sample 99,8
Sample 100,8
Sample 101,8
Sample 103,7
Sample 104,7
Sample 105,7
Sample 106,7
Sample 107,7
Sample 108,7
Sample 109,7
Sample 110,7
Sample 111,7
Sample 102,6
Sample 112,6
Sample 113,6
Sample 114,6
Sample 115,6
Sample 116,6
Sample 117,5
Sample 118,4
Sample 119,4
Sample 120,4
Sample 121,4
Sample 122,4
Sample 123,4
Sample 124,4
Sample 125,4
Sample 126,4
Sample 127,4
Sample 128,4
Sample 129,4
Sample 130,4
Sample 131,4
Sample 132,4
Sample 133,4
Sample 134,4
Sample 135,4
Sample 136,4
Sample 137,4
Sample 138,4
Sample 139,4
Sample 140,4
Sample 141,4
Sample 142,4
Sample 143,4
Sample 144,4
Sample 145,4
Sample 146,4
Sample 147,4
Sample 148,4
Sample 149,4
Sample 150,4
Sample 151,4
Sample 152,4
Sample 153,4
Sample 154,4
Sample 155,4
Sample 156,4
Sample 157,4
Sample 158,4
Sample 159,4
Sample 160,4
Sample 161,4
Sample 162,4
Sample 163,4
Sample 164,4
Sample 165,4
Sample 166,4
Sample 167,4
Sample8,3
Sample9,3
Sample 168,3
Sample 169,3
Sample 170,3
Sample 171,3
Sample 172,3
Sample 173,3
Sample 174,3
Sample 175,3
Sample 176,3
Sample 177,3
Sample 178,3
Sample 179,3
Sample 180,3
Sample 181,3
Sample 182,3
Sample 183,3
Sample 184,3
Sample 185,3
Sample 186,3
Sample 187,3
Sample 188,3
Sample 189,3
Sample 190,3
Sample 191,3
Sample 192,3
Sample 193,3
Sample 194,3
Sample 195,3
mixed CSF,2
Sample1,2
Sample2,2
Sample3,2
Sample4,2
Sample5,2
Sample6,2
Sample7,2
sample 1,2
sample 2,2
sample 3,2
sample 4,2
sample 5,2
sample 6,2
Sample 196,2
Sample 197,2
Sample 198,2
Sample 199,2
Sample 200,2
Sample 201,2
Sample 202,2
Sample 203,2
Sample 204,2
Sample 205,2
Sample 206,2
Sample 207,2
Sample 208,2
Sample 209,2
Sample 210,2
Sample 211,2
Sample 212,2
Sample 213,2
Sample 214,2
Sample 215,2
Sample 216,2
Sample 217,2
Sample 218,2
Sample 219,2
Sample 220,2
Sample 221,2
Sample 222,2
Sample 223,2
Sample 224,2
Sample 225,2
Sample 226,2
Sample 227,2
Sample 228,2
Sample 229,2
Sample 230,2
Sample 231,2
Sample 232,2
Sample 233,2
Sample 234,2
Sample 235,2
Sample 236,2
Sample 237,2
Sample 238,2
Sample 239,2
Sample 240,2
HeLa sample,1
sample 1 cancer cells in co-culture,1
sample 1 cancer cells in monoculture,1
sample 1 endothelial cells in co-culture,1
sample 2 cancer cells in co-culture,1
sample 2 cancer cells in monoculture,1
sample 2 endothelial cells in co-culture,1
sample 3 cancer cells in co-culture,1
sample 3 cancer cells in monoculture,1
sample 3 endothelial cells in co-culture,1
sample 4 cancer cells in co-culture,1
sample 4 cancer cells in monoculture,1
sample 4 endothelial cells in co-culture,1
sample 5 endothelial cells in co-culture,1
sample 6 endothelial cells in co-culture,1
sample 7 endothelial cells in co-culture,1
sample 5 endothelial cells in monoculture,1
