value,count
control,2
control condition,1
heat shock,1
proteasome inhibitor MG-132,1
proteasome inhibitor MG-133,1
proteasome inhibitor MG-134,1
proteasome inhibitor MG-135,1
proteasome inhibitor MG-136,1
proteasome inhibitor MG-137,1
proteasome inhibitor PR-619,1
proteasome inhibitor PR-620,1
proteasome inhibitor PR-621,1
proteasome inhibitor PR-622,1
proteasome inhibitor PR-623,1
proteasome inhibitor PR-624,1
proteasome inhibitor PR-625,1
proteasome inhibitor PR-626,1
proteasome inhibitor PR-627,1
GST:C-terminus domain of Repo-Man,1
GST alone,1
GST:Repo-Man1-135 proteins incubated with HeLa nucleosomes,1
BRAF inhibitor dabrafenib,1
ERK inhibitor SCH772984,1
MEK inhibitor trametinib,1
not applicable,1
siControl,1
siKMT9#1,1
IFNy,1
vector control,1
overexpressed both PSMB8 and PSMB9,1
overexpressed both PSMB8 and PSMB10,1
overexpressed both PSMB8 and PSMB11,1
