value,count
1,13
2,12
not available,11
3,10
5,9
6,9
7,8
8,8
4,8
9,7
10,7
11,7
12,7
14,7
15,7
16,6
17,6
19,6
20,6
13,6
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
33,5
34,5
35,5
36,5
37,5
18,5
38,4
39,4
40,4
32,4
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
57,3
58,3
not applicable,3
55,2
56,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
M504,1
M813,1
M825,1
M98,1
M35,1
M687,1
M787,1
M812,1
M829,1
M835,1
TCGA-A6-3807,1
TCGA-A6-3808,1
TCGA-A6-3810,1
TCGA-AA-3518,1
TCGA-AA-3525,1
TCGA-AA-3526,1
TCGA-AA-3529,1
TCGA-AA-3531,1
TCGA-AA-3534,1
TCGA-AA-3552,1
TCGA-AA-3554,1
TCGA-AA-3558,1
TCGA-AA-3561,1
TCGA-AA-3664,1
TCGA-AA-3666,1
TCGA-AA-3672,1
TCGA-AA-3684,1
TCGA-AA-3695,1
TCGA-AA-3710,1
TCGA-AA-3715,1
TCGA-AA-3818,1
TCGA-AA-3848,1
TCGA-AA-3864,1
TCGA-AA-3986,1
TCGA-AA-3989,1
TCGA-AA-A004,1
TCGA-AA-A00A,1
TCGA-AA-A00E,1
TCGA-AA-A00F,1
TCGA-AA-A017,1
TCGA-AA-A01C,1
TCGA-AA-A01D,1
TCGA-AA-A01F,1
TCGA-AA-A01I,1
TCGA-AA-A01K,1
TCGA-AA-A01P,1
TCGA-AA-A01R,1
TCGA-AA-A01S,1
TCGA-AA-A01T,1
TCGA-AA-A02O,1
TCGA-AA-A02R,1
TCGA-AA-A02Y,1
TCGA-AA-A03F,1
TCGA-AA-A03J,1
TCGA-AF-2691,1
TCGA-AF-2692,1
TCGA-AF-3400,1
TCGA-AF-3913,1
TCGA-AG-3574,1
TCGA-AG-3580,1
TCGA-AG-3584,1
TCGA-AG-3593,1
TCGA-AG-3594,1
TCGA-AG-4007,1
TCGA-AG-A002,1
TCGA-AG-A008,1
TCGA-AG-A00C,1
TCGA-AG-A00H,1
TCGA-AG-A00Y,1
TCGA-AG-A011,1
TCGA-AG-A014,1
TCGA-AG-A015,1
TCGA-AG-A016,1
TCGA-AG-A01J,1
TCGA-AG-A01L,1
TCGA-AG-A01N,1
TCGA-AG-A01W,1
TCGA-AG-A01Y,1
TCGA-AG-A020,1
F1,1
F2,1
F3,1
M1,1
M2,1
M3,1
P1,1
P2,1
P3,1
P4_5,1
P012579,1
P012580,1
P012694,1
P012695,1
P012338,1
P012339,1
P012340,1
P012890,1
P012696,1
P012697,1
P012909,1
P012910,1
P012911,1
P012912,1
P012913,1
P013026,1
P013027,1
P012914,1
P013025,1
P013028,1
P013029,1
P013030,1
P013031,1
P013096,1
P013097,1
P013098,1
P013099,1
P013100,1
P013101,1
P013102,1
P013103,1
P013104,1
P013105,1
P013106,1
P013108,1
P013130,1
P013131,1
P013132,1
P013133,1
P013134,1
P013135,1
P013136,1
P013137,1
P013138,1
P013139,1
P013140,1
P013141,1
P013142,1
P013143,1
P013144,1
P013145,1
P013146,1
P013147,1
P013148,1
P013149,1
P013150,1
P013151,1
P013152,1
P013153,1
P013154,1
P013155,1
P013156,1
P013157,1
P013158,1
P015041,1
P007435,1
P007443,1
P007451,1
P007459,1
P007467,1
P007475,1
P007483,1
P007491,1
P007436,1
P007444,1
P007452,1
P007460,1
P007468,1
P007476,1
P007484,1
P007492,1
P007437,1
P007445,1
P007453,1
P007461,1
P007469,1
P007477,1
P007485,1
P007493,1
P007438,1
P007446,1
P007454,1
P007462,1
P007470,1
P007478,1
P007486,1
P007494,1
P007439,1
P007447,1
P007455,1
P007463,1
P007471,1
P007479,1
P007487,1
P007495,1
P007440,1
P007448,1
P007456,1
P007464,1
P007472,1
P007480,1
P007488,1
P007496,1
P007441,1
P007449,1
P007457,1
P007465,1
P007473,1
P007481,1
P007489,1
P007497,1
P007442,1
P007450,1
P007458,1
P007466,1
P007474,1
P007482,1
P007490,1
P007498,1
P007560,1
P007568,1
P007576,1
P007584,1
P007592,1
P007600,1
P007608,1
P007616,1
P007561,1
P007569,1
P007577,1
P007585,1
P007593,1
P007601,1
P007609,1
P007617,1
P007562,1
P007570,1
P007578,1
P007586,1
P007594,1
P007602,1
P007610,1
P007618,1
P007563,1
P007571,1
P007579,1
P007587,1
P007595,1
P007603,1
P007611,1
P007619,1
P007564,1
P007572,1
P007580,1
P007588,1
P007596,1
P007604,1
P007612,1
P007620,1
P007565,1
P007573,1
P007581,1
P007589,1
P007597,1
P007605,1
P007613,1
P007621,1
P007566,1
P007574,1
P007582,1
P007590,1
P007598,1
P007606,1
P007614,1
P007622,1
P007567,1
P007575,1
P007583,1
P007591,1
P007599,1
P007607,1
P007615,1
P007623,1
P007959,1
P007967,1
P007975,1
P007983,1
P007991,1
P007999,1
P008007,1
P008015,1
P007960,1
P007968,1
P007976,1
P007984,1
P007992,1
P008000,1
P008008,1
P008016,1
P007961,1
P007969,1
P007977,1
P007985,1
P007993,1
P008001,1
P008009,1
P008017,1
P007962,1
P007970,1
P007978,1
P007986,1
P007994,1
P008002,1
P008010,1
P008018,1
P007963,1
P007971,1
P007979,1
P007987,1
P007995,1
P008003,1
P008011,1
P008019,1
P007964,1
P007972,1
P007980,1
P007988,1
P007996,1
P008004,1
P008012,1
P008020,1
P007965,1
P007973,1
P007981,1
P007989,1
P007997,1
P008005,1
P008013,1
P008021,1
P007966,1
P007974,1
P007982,1
P007990,1
P007998,1
P008006,1
P008014,1
P008022,1
P015997,1
P015998,1
P015999,1
HSB118,1
HSB119,1
HSB121,1
HSB122,1
HSB123,1
HSB126,1
HSB127,1
