value,count
25.03M,1
25.43M,1
21.57M,1
25.63M,1
23.63M,1
46.47M,1
34.7M,1
44.73M,1
36.87M,1
48.33M,1
45.47M,1
25.13M,1
10.37M,1
6.13M,1
not available,1
22.2M,1
20M,1
19.13M,1
28.67M,1
3.07M,1
9.53M,1
23.03M,1
6.17M,1
10.8M,1
14.2M,1
4.57M,1
6.93M,1
3.17M,1
26.13M,1
6.5M,1
28.83M,1
95.4M,1
53.5M,1
15.93M,1
12.03M,1
4M,1
1.97M,1
4.37M,1
100.77M,1
8.73M,1
104.2M,1
6.53M,1
2.53M,1
66.63M,1
4.1M,1
8.93M,1
9.67M,1
5.83M,1
59.23M,1
5.07M,1
1.57M,1
2.87M,1
110.4M,1
68.33M,1
2.67M,1
72.53M,1
22.57M,1
10.63M,1
2.97M,1
57.83M,1
8.97M,1
18.13M,1
5.47M,1
5.87M,1
54.1M,1
13.9M,1
18.57M,1
1.63M,1
3.2M,1
17.03M,1
15.87M,1
2.2M,1
8M,1
8.17M,1
15.47M,1
7.6M,1
4.6M,1
9.57M,1
2.83M,1
5.57M,1
0.53M,1
9M,1
15.07M,1
6.73M,1
3.7M,1
5.1M,1
5.73M,1
3.23M,1
4.83M,1
9.73M,1
8.83M,1
not applicable,1
