value,count
Stage IIA,6
Stage IIIB,5
Stage I,5
Stage IV,4
Stage IIIC,3
not available,3
Control,2
Healthy,2
normal,2
Stage IIIA,1
hypertrophy groups,1
wild,1
Mixed,1
CDPK1 knockdown,1
RV,1
Ao,1
LA,1
LV,1
MK,1
RA,1
AV,1
LH,1
MV,1
PA,1
PV,1
PVe,1
SepA,1
SepV,1
TV,1
IVC,1
indolent,1
agressive,1
no relapse,1
relapse,1
tumors nearby tissues,1
tumor,1
malignant,1
benign,1
early braak stage,1
late braak stage,1
knockdown,1
C1 type IIM,1
C1 type II,1
C1 type I,1
C2 type IIM,1
C2 type II,1
C2 type I,1
C3 type IIM,1
C3 type II,1
C3 type I,1
C4 type IIM,1
C4 type II,1
C4 type I,1
C5 type II,1
C5 type I,1
C6 type II,1
C6 type I,1
C7 type II,1
before_treatment,1
treatment,1
control,1
SARS-Co-V2 proteins,1
