value,count
25.03M,1
25.43M,1
6M,1
25.63M,1
23.63M,1
46.47M,1
34.7M,1
44.73M,1
36.87M,1
48.33M,1
45.47M,1
22.4M,1
3.03M,1
not available,1
20.1M,1
20M,1
19.13M,1
28.67M,1
0.97M,1
7.17M,1
11.37M,1
6.17M,1
1.2M,1
14.2M,1
1.13M,1
1.67M,1
1.23M,1
9.2M,1
2.97M,1
11.9M,1
4.83M,1
6.93M,1
6.43M,1
4.43M,1
1M,1
0.27M,1
2.83M,1
100.77M,1
4.6M,1
104.2M,1
66.63M,1
4.1M,1
3.07M,1
2.8M,1
1.6M,1
23.3M,1
0.43M,1
2.43M,1
110.4M,1
8.47M,1
68.33M,1
72.53M,1
7.43M,1
0.93M,1
57.83M,1
2.77M,1
3M,1
54.1M,1
13.9M,1
18.57M,1
1.63M,1
2.47M,1
12.1M,1
11.63M,1
2.1M,1
3.13M,1
15.47M,1
5.47M,1
9.57M,1
2.53M,1
5.57M,1
0.53M,1
9M,1
15.07M,1
6.73M,1
3.7M,1
5.1M,1
5.73M,1
8.73M,1
3.23M,1
2.93M,1
9.73M,1
4.57M,1
8.83M,1
not applicable,1
