value,count
TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR01.raw,2
TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR02.raw,2
TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR03.raw,2
TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR04.raw,2
TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR05.raw,2
TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR06.raw,2
TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR07.raw,2
TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR08.raw,2
TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR09.raw,2
TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR10.raw,2
TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR11.raw,2
TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR12.raw,2
TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR13.raw,2
TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR14.raw,2
TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR15.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR01.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR02.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR03.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR04.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR05.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR06.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR07.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR08.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR09.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR10.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR11.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR12.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR13.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR14.raw,2
TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR15.raw,2
TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR01.raw,2
TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR02.raw,2
TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR03.raw,2
TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR04.raw,2
TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR05.raw,2
TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR06.raw,2
TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR07.raw,2
TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR08.raw,2
TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR09.raw,2
TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR10.raw,2
TCGA-AG-A011-01A-32_W_VU_20120829_A0218_2I_R_FR11.raw,2
TCGA-AG-A011-01A-32_W_VU_20120829_A0218_2I_R_FR12.raw,2
TCGA-AG-A011-01A-32_W_VU_20120829_A0218_2I_R_FR13.raw,2
TCGA-AG-A011-01A-32_W_VU_20120829_A0218_2I_R_FR14.raw,2
TCGA-AG-A011-01A-32_W_VU_20120829_A0218_2I_R_FR15.raw,2
TCGA-AG-A014-01A-12_W_VU_20120824_A0218_2F_R_FR01.raw,2
TCGA-AG-A014-01A-12_W_VU_20120824_A0218_2F_R_FR02.raw,2
TCGA-AG-A014-01A-12_W_VU_20120824_A0218_2F_R_FR03.raw,2
TCGA-AG-A014-01A-12_W_VU_20120824_A0218_2F_R_FR04.raw,2
TCGA-AG-A014-01A-12_W_VU_20120824_A0218_2F_R_FR05.raw,2
TCGA-AG-A014-01A-12_W_VU_20120824_A0218_2F_R_FR06.raw,2
TCGA-AG-A014-01A-12_W_VU_20120824_A0218_2F_R_FR07.raw,2
TCGA-AG-A014-01A-12_W_VU_20120824_A0218_2F_R_FR08.raw,2
TCGA-AG-A014-01A-12_W_VU_20120824_A0218_2F_R_FR09.raw,2
TCGA-AG-A014-01A-12_W_VU_20120825_A0218_2F_R_FR10.raw,2
TCGA-AG-A014-01A-12_W_VU_20120825_A0218_2F_R_FR11.raw,2
TCGA-AG-A014-01A-12_W_VU_20120825_A0218_2F_R_FR12.raw,2
TCGA-AG-A014-01A-12_W_VU_20120825_A0218_2F_R_FR13.raw,2
TCGA-AG-A014-01A-12_W_VU_20120825_A0218_2F_R_FR14.raw,2
TCGA-AG-A014-01A-12_W_VU_20120825_A0218_2F_R_FR15.raw,2
TCGA-AG-A015-01A-51_W_VU_20120921_A0218_3H_R_FR01.raw,2
TCGA-AG-A015-01A-51_W_VU_20120921_A0218_3H_R_FR02.raw,2
TCGA-AG-A015-01A-51_W_VU_20120922_A0218_3H_R_FR03.raw,2
TCGA-AG-A015-01A-51_W_VU_20120922_A0218_3H_R_FR04.raw,2
TCGA-AG-A015-01A-51_W_VU_20120922_A0218_3H_R_FR05.raw,2
TCGA-AG-A015-01A-51_W_VU_20120922_A0218_3H_R_FR06.raw,2
TCGA-AG-A015-01A-51_W_VU_20120922_A0218_3H_R_FR07.raw,2
TCGA-AG-A015-01A-51_W_VU_20120922_A0218_3H_R_FR08.raw,2
TCGA-AG-A015-01A-51_W_VU_20120922_A0218_3H_R_FR09.raw,2
TCGA-AG-A015-01A-51_W_VU_20120922_A0218_3H_R_FR10.raw,2
TCGA-AG-A015-01A-51_W_VU_20120922_A0218_3H_R_FR11.raw,2
TCGA-AG-A015-01A-51_W_VU_20120922_A0218_3H_R_FR12.raw,2
TCGA-AG-A015-01A-51_W_VU_20120922_A0218_3H_R_FR13.raw,2
TCGA-AG-A015-01A-51_W_VU_20120922_A0218_3H_R_FR14.raw,2
TCGA-AG-A015-01A-51_W_VU_20120922_A0218_3H_R_FR15.raw,2
