pxd,n_rows,primary_family,n_real_values,n_total_cells,pct_real,n_evidence,top_similar
PXD004010,10,label_free_simple,110,770,14.3,5,PXD016837
PXD016436,18,label_free_simple,336,1386,24.2,14,PXD018594
PXD019519,6,dose_response,108,462,23.4,17,PXD016837
PXD025663,12,label_free_simple,180,924,19.5,16,PXD016837
PXD040582,24,cell_line,510,1848,27.6,16,PXD013765
PXD050621,9,label_free_simple,111,693,16.0,3,PXD016837
PXD061009,2,treatment_control,34,154,22.1,16,PXD018117
PXD061090,6,label_free_simple,72,462,15.6,6,PXD011153
PXD061136,2,label_free_simple,22,154,14.3,6,PXD016837
PXD061195,1376,ap_ms,29952,105952,28.3,20,PXD002870
PXD061285,60,cell_line,976,4620,21.1,13,PXD002395
PXD062014,24,cell_line,336,1848,18.2,9,PXD004613
PXD062469,32,treatment_control,544,2464,22.1,12,PXD018117
PXD062877,48,time_series,768,3696,20.8,16,PXD002870
PXD064564,30,cell_line,390,2310,16.9,9,PXD001061
