field,mean_f1,n_evaluated_pairs
Characteristics[AlkylationReagent],1.0,2
Comment[NumberOfMissedCleavages],1.0,1
PXD,1.0,103
Raw Data File,1.0,103
Characteristics[CleavageAgent],0.9010633379565418,103
Characteristics[Organism],0.8867313915857604,103
Comment[Separation],0.875,8
Comment[PrecursorMassTolerance],0.8571428571428571,35
Characteristics[Sex],0.8125,8
Comment[AcquisitionMethod],0.8,5
Characteristics[Label],0.7927548179975364,103
Comment[FragmentationMethod],0.7748148148148148,45
Comment[FragmentMassTolerance],0.75,36
Comment[Instrument],0.7448453608247423,97
Characteristics[BiologicalReplicate],0.7256309391476855,99
Comment[FractionIdentifier],0.7157404954136835,29
Characteristics[CellLine],0.6833333333333333,15
Comment[MS2MassAnalyzer],0.6666666666666667,23
Characteristics[Modification],0.65,100
Characteristics[Modification].1,0.6,85
Comment[FractionationMethod],0.5729166666666666,8
Comment[CollisionEnergy],0.5614035087719298,19
Characteristics[ReductionReagent],0.5,2
Characteristics[MaterialType],0.4880952380952381,56
Characteristics[CellType],0.4583333333333333,16
Comment[EnrichmentMethod],0.4444444444444444,6
Characteristics[OrganismPart],0.3885559360730593,73
Characteristics[Disease],0.3551515151515151,55
Characteristics[DevelopmentalStage],0.2857142857142857,21
